Name,Nation,Age,Club,Position,Current Ability,League
Donyell Malen,Netherlands,27,AS Roma,"RW, LW, ST",145.0,Serie A
Riccardo Orsolini,Italy,29,Bologna,RW,145.0,Serie A
Nicolò Zaniolo,Italy,27,Udinese,"AMF, RW, LW, ST",145,Serie A
Giacomo Raspadori,Italy,26,Atalanta,"AMF, RW, LW, ST",145.0,Serie A
Giorgio Scalvini,Italy,22,Atalanta,CB,145,Serie A
Arkadiusz Milik,Poland,32,Juventus,ST,145.0,Serie A
Juan Foyth,Argentina,28,Villarreal,"CB, RB, CDM",145.0,First Division
Denis Suárez,Spain,32,Alavés,"AMF, LW",145,First Division
Marc Cucurella,Spain,27,Real Madrid,"CB, LB, LM",145.0,First Division
Ander Barrenetxea,Spain,24,Real Sociedad,"RW, LW",145.0,First Division
Geoffrey Kondogbia,Central African Rep.,33,Marseille,CDM,145.0,Ligue 1 Uber Eats
Jonathan Clauss,France,33,OGC Nice,"RB, RM",145.0,Ligue 1 Uber Eats
Kevin Kampl,Slovenia,35,RB Leipzig,CDM,144,Bundesliga
Cheick Doucouré,Mali,26,Crystal Palace,CDM,144,Premier Division
Igor,Brazil,28,Brighton,"CB, LB",144,Premier Division
Matheus Cunha,Brazil,27,Manchester United,"AMF, RW, LW, ST",144,Premier Division
João Pedro,Brazil,24,Chelsea,"AMF, RW, LW, ST",144,Premier Division
Christian Nørgaard,Denmark,32,Everton,CDM,144,Premier Division
Bryan Mbeumo,Cameroon,26,Manchester United,"RW, LW, ST",144,Premier Division
Nikola Milenkovic,Serbia,28,Nottingham Forest,CB,144,Premier Division
Diogo Dalot,Portugal,27,Manchester United,"RB, LB",144,Premier Division
Malick Thiaw,Germany,24,Newcastle United,CB,144,Premier Division
Alejandro Garnacho,Argentina,22,Aston Villa,"RW, LW",144,Premier Division
Rico Lewis,England,21,Manchester City,"RB, CDM",144,Premier Division
Jonathan David,Canada,26,Juventus,"AMF, RW, LW, ST",144,Serie A
Arthur,Brazil,29,Juventus,CDM,144,Serie A
Nemanja Matic,Serbia,37,Sassuolo,CDM,144,Serie A
David De Gea,Spain,35,Fiorentina,GK,144,Serie A
Mario Hermoso,Spain,31,AS Roma,"CB, LB",144,Serie A
Alfonso Pedraza,Spain,30,Lazio,"LB, LW",144,Serie A
Lazar Samardic,Serbia,24,Atalanta,AMF,144,Serie A
Marcão,Brazil,30,Sevilla,CB,144,First Division
Eric García,Spain,25,Barcelona,CB,144,First Division
Borja Iglesias,Spain,33,Celta Vigo,ST,144,First Division
Kang-In Lee,South Korea,25,Atletico Madrid,"AMF, RW, LW",144,First Division
Ramy Bensebaïni,Algeria,31,Borussia Dortmund,"CB, LB",143,Bundesliga
Andrej Kramaric,Croatia,35,TSG Hoffenheim,"AMF, ST",143,Bundesliga
Julian Ryerson,Norway,28,Borussia Dortmund,"RB, LB",143,Bundesliga
Aleix García,Spain,29,Bayer Leverkusen,CDM,143,Bundesliga
Ellyes Skhiri,Tunisia,31,Eintracht Frankfurt,CDM,143,Bundesliga
Matthias Ginter,Germany,32,SC Freiburg,"CB, RB",143,Bundesliga
Lukas Klostermann,Germany,30,RB Leipzig,"CB, RB, LB",143,Bundesliga
David Raum,Germany,28,RB Leipzig,"LB, LM",143,Bundesliga
Tammy Abraham,England,28,Aston Villa,ST,143,Premier Division
Brennan Johnson,Wales,25,Everton,"AMF, RW, LW, ST",143,Premier Division
Wataru Endo,Japan,33,Liverpool,CDM,143,Premier Division
Emiliano Buendía,Argentina,29,Aston Villa,"AMF, RW",143,Premier Division
António Silva,Portugal,22,Bournemouth,CB,143,Premier Division
Edon Zhegrova,Kosovo,27,Juventus,"AMF, RW, LW",143,Serie A
Justin Bijlow,Netherlands,28,Genoa,GK,143,Serie A
Gianluca Scamacca,Italy,27,Atalanta,ST,143,Serie A
Alessandro Buongiorno,Italy,27,Napoli,CB,143,Serie A
Andrea Cambiaso,Italy,26,Juventus,"RB, LB, RM, LM",143,Serie A
Evan N'Dicka,Ivory Coast,26,AS Roma,"CB, LB",143,Serie A
Khephren Thuram,France,25,Juventus,CDM,143,Serie A
Youssouf Fofana,France,27,AC Milan,CDM,143,Serie A
Billy Gilmour,Scotland,25,Napoli,CDM,143,Serie A
Arnaut Danjuma,Netherlands,29,Valencia,"RW, LW",143,First Division
Alexander Sørloth,Norway,30,Atletico Madrid,ST,143,First Division
Marcos Alonso,Spain,35,Celta Vigo,"CB, LB, LM",143,First Division
Álvaro García,Spain,33,Rayo Vallecano,LW,143,First Division
Carles Pérez,Spain,28,Celta Vigo,"AMF, RW, LW",143,First Division
Igor Zubeldia,Spain,29,Real Sociedad,"CB, CDM",143,First Division
Álex Baena,Spain,24,Atletico Madrid,"AMF, RW, LW",143,First Division
Yangel Herrera,Venezuela,28,Real Sociedad,CDM,143,First Division
Amadou Haïdara,Mali,28,RC Lens,CDM,143,Ligue 1 Uber Eats
Bradley Barcola,France,23,PSG,"RW, LW, ST",143,Ligue 1 Uber Eats
Mario Götze,Germany,34,Eintracht Frankfurt,AMF,142,Bundesliga
Robin Gosens,Germany,32,Schalke 04,"LB, LM",142,Bundesliga
Eljif Elmas,North Macedonia,26,RB Leipzig,"AMF, LW",142,Bundesliga
Vincenzo Grifo,Italy,33,SC Freiburg,"AMF, LW",142,Bundesliga
Deniz Undav,Germany,29,VfB Stuttgart,"AMF, ST",142,Bundesliga
Lucas Perri,Brazil,28,Leeds United,GK,142,Premier Division
Mathias Jensen,Denmark,30,Brentford,CM,142,Premier Division
Robert Sánchez,Spain,28,Chelsea,GK,142,Premier Division
Nordi Mukiele,France,28,Sunderland,"CB, RB",142,Premier Division
Yeremy Pino,Spain,23,Crystal Palace,"AMF, RW, LW, ST",142,Premier Division
Tyler Adams,U.S.A.,27,Bournemouth,"RB, CDM",142,Premier Division
Victor Lindelöf,Sweden,31,Aston Villa,CB,142,Premier Division
Ousmane Diomande,Ivory Coast,22,Nottingham Forest,CB,142,Premier Division
Leonardo Spinazzola,Italy,33,Napoli,"LB, LM",142,Serie A
Nicolò Fagioli,Italy,25,Fiorentina,"CDM, AMF",142,Serie A
Pierre Kalulu,France,26,Juventus,"CB, RB",142,Serie A
Adam Maruic,Montenegro,33,Lazio,"RB, LB",142,Serie A
Patric,Spain,33,Lazio,CB,142,Serie A
Samuel Chukwueze,Nigeria,27,AC Milan,"RW, LW",142,Serie A
Mathías Olivera,Uruguay,28,Napoli,"LB, LM",142,Serie A
João Mário,Portugal,26,Fiorentina,"RB, RM",142,Serie A
Sead Kolainac,Bosnia & Herzegovina,33,Atalanta,"CB, LB",142,Serie A
Karim Adeyemi,Germany,24,Barcelona,"RW, LW, ST",142,First Division
Umar Sadiq,Nigeria,29,Valencia,ST,142,First Division
Matteo Ruggeri,Italy,24,Atletico Madrid,LB,142,First Division
Mouctar Diakhaby,Guinea,29,Valencia,"CB, CDM",142,First Division
Dávid Hancko,Slovakia,28,Atletico Madrid,"CB, LB",142,First Division
David Soria,Spain,33,Getafe,GK,142,First Division
Ayoze Pérez,Spain,32,Villarreal,"AMF, RW, LW, ST",142,First Division
Javi Galán,Spain,31,Celta Vigo,LB,142,First Division
Brice Samba,France,32,Rennes,GK,142,Ligue 1 Uber Eats
Denis Zakaria,Switzerland,29,AS Monaco,CDM,142,Ligue 1 Uber Eats
Facundo Medina,Argentina,27,Bayer Leverkusen,CB,141,Bundesliga
Ross Barkley,England,32,Aston Villa,"CDM, AMF",141,Premier Division
Levi Colwill,England,23,Chelsea,"CB, LB",141,Premier Division
Dominic Solanke,England,28,Tottenham,ST,141,Premier Division
Jacob Ramsey,England,25,Newcastle United,"AMF, LW",141,Premier Division
Ryan Gravenberch,Netherlands,24,Liverpool,"CDM, AMF",141,Premier Division
Ðorde Petrovic,Serbia,26,Bournemouth,GK,141,Premier Division
Kepa Arrizabalaga,Spain,31,Arsenal,GK,141,Premier Division
Jorge Cuenca,Spain,26,Fulham,CB,141,Premier Division
Sávio,Brazil,22,Manchester City,"RW, LW",141,Premier Division
Myles Lewis-Skelly,England,19,Arsenal,"LB, CDM",141,Premier Division
Mario Paalic,Croatia,31,Atalanta,AMF,141,Serie A
Nikola Vlaic,Croatia,28,Torino,"AMF, RW, LW",141,Serie A
Jérémie Boga,Ivory Coast,29,Juventus,"AMF, LW",141,Serie A
Scott McTominay,Scotland,29,Napoli,"CDM, AMF",141,Serie A
Cristiano Biraghi,Italy,33,Torino,LB,141,Serie A
Nicolò Rovella,Italy,24,Lazio,CDM,141,Serie A
Santiago Giménez,Mexico,25,AC Milan,ST,141,Serie A
Antony,Brazil,26,Real Betis,RW,141,First Division
Héctor Bellerín,Spain,31,Real Betis,RB,141,First Division
Gonçalo Guedes,Portugal,29,Real Sociedad,"AMF, RW, LW, ST",141,First Division
Marc Roca,Spain,29,Real Betis,CDM,141,First Division
Rodrigo Riquelme,Spain,26,Real Betis,"LB, AMF, RW, LW",141,First Division
Terem Moffi,Nigeria,27,OGC Nice,ST,141,Ligue 1 Uber Eats
Lucas Digne,France,32,PSG,LB,141,Ligue 1 Uber Eats
Valentin Rongier,France,31,Rennes,CDM,141,Ligue 1 Uber Eats
Philipp Lienhart,Austria,30,SC Freiburg,CB,140,Bundesliga
Christoph Baumgartner,Austria,26,RB Leipzig,"AMF, ST",140,Bundesliga
Felix Nmecha,Germany,25,Borussia Dortmund,"CDM, AMF",140,Bundesliga
Sacha Boey,France,25,Bayern Munich,RB,140,Bundesliga
Robert Andrich,Germany,31,Bayer Leverkusen,"CB, CDM",140,Bundesliga
Walter Benítez,Argentina,33,Crystal Palace,GK,140,Premier Division
Ben Davies,Wales,33,Tottenham,"CB, LB",140,Premier Division
Harvey Barnes,England,28,Newcastle United,"AMF, RW, LW",140,Premier Division
Callum Hudson-Odoi,England,25,Nottingham Forest,"AMF, RW, LW",140,Premier Division
Cole Palmer,England,24,Chelsea,"AMF, RW, LW",140,Premier Division
Tino Livramento,England,23,Newcastle United,"RB, LB",140,Premier Division
James Tarkowski,England,33,Everton,CB,140,Premier Division
Dan Burn,England,34,Newcastle United,"CB, LB",140,Premier Division
Kenny Tete,Netherlands,30,Fulham,RB,140,Premier Division
Justin Kluivert,Netherlands,27,Bournemouth,"AMF, RW, LW",140,Premier Division
Ferdi Kadioglu,Türkiye,26,Brighton,"RB, LB",140,Premier Division
Daichi Kamada,Japan,29,Crystal Palace,AMF,140,Premier Division
Kristoffer Ajer,Norway,28,Brentford,"CB, CDM",140,Premier Division
Aaron Hickey,Scotland,24,Brentford,"RB, LB",140,Premier Division
Florentino Luís,Portugal,26,Ipswich Town,CDM,140,Premier Division
Beto,Guinea-Bissau,28,Everton,ST,140,Premier Division
Kevin Danso,Austria,27,Tottenham,CB,140,Premier Division
Noah Okafor,Switzerland,26,Leeds United,"RW, LW, ST",140,Premier Division
Giovanni Simeone,Argentina,31,Torino,ST,140,Serie A
Alexis Saelemaekers,Belgium,27,AC Milan,"RB, RW, LW",140,Serie A
Rasmus Højlund,Denmark,23,Napoli,ST,140,Serie A
Davide Zappacosta,Italy,34,Atalanta,"RB, LB, RM",140,Serie A
Alfred Duncan,Ghana,33,Venezia,CDM,140,Serie A
Federico Bernardeschi,Italy,32,Bologna,"RB, LB, RW, LW",140,Serie A
Michele Di Gregorio,Italy,28,Juventus,GK,140,Serie A
Andrea Colpani,Italy,27,Monza,AMF,140,Serie A
Moise Kean,Italy,26,Fiorentina,"RW, LW, ST",140,Serie A
Ivan Ilic,Serbia,25,Torino,"CDM, AMF",140,Serie A
Duván Zapata,Colombia,35,Torino,ST,140,Serie A
Jesper Karlsson,Sweden,27,Bologna,"RW, LW, ST",140,Serie A
Odilon Kossounou,Ivory Coast,25,Atalanta,"CB, RB",140,Serie A
Giovani Lo Celso,Argentina,30,Real Betis,"CDM, AMF, LW",140,First Division
Luiz Felipe,Italy,29,Rayo Vallecano,CB,140,First Division
Diego Llorente,Spain,32,Real Betis,CB,140,First Division
Yuri,Spain,36,Athletic Bilbao,LB,140,First Division
Íñigo Ruiz de Galarreta,Spain,32,Athletic Bilbao,CDM,140,First Division
Alejandro Catena,Spain,31,Osasuna,CB,140,First Division
Borja Mayoral,Spain,29,Getafe,ST,140,First Division
Santi Comesaña,Spain,29,Villarreal,CDM,140,First Division
Álvaro Fidalgo,Spain,29,Real Betis,"AMF, LW",140,First Division
Enes Ünal,Türkiye,29,Getafe,ST,140,First Division
Matías Vecino,Uruguay,34,Celta Vigo,CDM,140,First Division
Javi Guerra,Spain,23,Valencia,"CDM, AMF, RW",140,First Division
Nayef Aguerd,Morocco,30,Marseille,CB,140,Ligue 1 Uber Eats
Kevin Trapp,Germany,36,Paris FC,GK,140,Ligue 1 Uber Eats
Takumi Minamino,Japan,31,AS Monaco,"AMF, LW",140,Ligue 1 Uber Eats
Renato Sanches,Portugal,28,PSG,"CDM, AMF",140,Ligue 1 Uber Eats
Séko Fofana,Ivory Coast,31,Rennes,CDM,140,Ligue 1 Uber Eats
Ludovic Blas,France,28,Rennes,"AMF, RW",140,Ligue 1 Uber Eats
Sebastian Szymanski,Poland,27,Rennes,"AMF, RW, LW",140,Ligue 1 Uber Eats
